t,i,v,soc,T
730.0,-1.6,3.895,0.7709999999999999,26.2
740.0,-1.4,3.894,0.7709999999999999,26.2
750.0,-1.4,3.894,0.7709999999999999,26.2
760.0,-1.5,3.895,0.7709999999999999,26.2
770.0,-1.5,3.894,0.7709999999999999,26.2
780.0,-1.5,3.894,0.7709999999999999,26.2
790.0,-1.4,3.894,0.7709999999999999,26.2
800.0,-1.4,3.894,0.7709999999999999,26.2
810.0,-1.4,3.894,0.7709999999999999,26.2
820.0,-1.4,3.894,0.7709999999999999,26.2
830.0,-1.4,3.894,0.7709999999999999,26.2
840.0,-1.4,3.894,0.7709999999999999,26.2
850.0,-1.4,3.894,0.7709999999999999,26.2
860.0,-1.4,3.894,0.7709999999999999,26.2
870.0,-1.4,3.894,0.7709999999999999,26.2
880.0,-1.3,3.894,0.7709999999999999,26.2
890.0,-1.3,3.894,0.7709999999999999,26.2
900.0,-1.2,3.894,0.7709999999999999,26.2
910.0,-1.2,3.894,0.7709999999999999,26.2
920.0,-1.2,3.894,0.7709999999999999,26.1
930.0,-1.2,3.894,0.7709999999999999,26.1
940.0,-1.2,3.894,0.7709999999999999,26.1
950.0,-1.2,3.894,0.7709999999999999,26.1
960.0,-1.2,3.894,0.7709999999999999,26.1
970.0,-1.2,3.894,0.7709999999999999,26.1
980.0,-1.2,3.894,0.7709999999999999,26.1
990.0,-1.2,3.894,0.7709999999999999,26.1
1000.0,-1.2,3.894,0.7709999999999999,26.1
1010.0,-1.2,3.894,0.7709999999999999,26.1
1020.0,-1.2,3.894,0.7709999999999999,26.1
1030.0,-1.1,3.894,0.7709999999999999,26.1
1040.0,-1.1,3.894,0.7709999999999999,26.1
1050.0,-1.2,3.894,0.7709999999999999,26.1
1060.0,-1.2,3.894,0.7709999999999999,26.1
1070.0,-1.2,3.894,0.7709999999999999,26.1
1080.0,-1.2,3.894,0.7709999999999999,26.1
1090.0,-1.2,3.894,0.7709999999999999,26.1
1100.0,-1.2,3.894,0.7709999999999999,26.1
1110.0,-1.2,3.894,0.7709999999999999,26.1
1120.0,-1.2,3.894,0.7709999999999999,26.1
1130.0,-1.1,3.894,0.7709999999999999,26.1
1140.0,-1.1,3.894,0.7709999999999999,26.1
1150.0,-1.2,3.894,0.7709999999999999,26.1
1160.0,-1.2,3.894,0.7709999999999999,26.1
1170.0,-1.2,3.894,0.7709999999999999,26.1
1180.0,-1.2,3.894,0.7709999999999999,26.1
1190.0,-1.2,3.894,0.7709999999999999,26.1
1200.0,-1.2,3.894,0.7709999999999999,26.1
1210.0,-1.2,3.894,0.7709999999999999,26.1
1220.0,-1.2,3.894,0.7709999999999999,26.1
1230.0,-1.2,3.894,0.7709999999999999,26.1
1240.0,-1.2,3.894,0.7709999999999999,26.1
1250.0,-1.2,3.894,0.7709999999999999,26.1
1260.0,-1.1,3.894,0.7709999999999999,26.1
1270.0,-1.2,3.894,0.7709999999999999,26.1
1280.0,-1.1,3.894,0.7709999999999999,26.1
1290.0,-1.1,3.894,0.7709999999999999,26.1
1300.0,-1.1,3.894,0.77,26.1
1310.0,-1.3,3.894,0.77,26.1
1320.0,-1.3,3.894,0.77,26.1
1330.0,-1.1,3.894,0.77,26.1
1340.0,-1.2,3.894,0.77,26.1
1350.0,-1.2,3.894,0.77,26.1
