_time,dr_ch_p1_m1,dr_ch_p1_m2,dr_ch_p1_m3,dr_ch_p1_m4,dr_ch_p1_m5,dr_ch_p1_m6,dr_ch_p1_m7,dr_ch_p1_m8,dr_ch_p1_m9,dr_ch_p2_m1,dr_ch_p2_m2,dr_ch_p2_m3,dr_ch_p2_m4,dr_ch_p2_m5,dr_ch_p2_m6,dr_ch_p2_m7,dr_ch_p2_m8,dr_ch_p2_m9,dr_ch_p3_m1,dr_ch_p3_m2,dr_ch_p3_m3,dr_ch_p3_m4,dr_ch_p3_m5,dr_ch_p3_m6,dr_ch_p3_m7,dr_ch_p3_m8,dr_ch_p3_m9,dr_dch_p1_m1,dr_dch_p1_m2,dr_dch_p1_m3,dr_dch_p1_m4,dr_dch_p1_m5,dr_dch_p1_m6,dr_dch_p1_m7,dr_dch_p1_m8,dr_dch_p1_m9,dr_dch_p2_m1,dr_dch_p2_m2,dr_dch_p2_m3,dr_dch_p2_m4,dr_dch_p2_m5,dr_dch_p2_m6,dr_dch_p2_m7,dr_dch_p2_m8,dr_dch_p2_m9,dr_dch_p3_m1,dr_dch_p3_m2,dr_dch_p3_m3,dr_dch_p3_m4,dr_dch_p3_m5,dr_dch_p3_m6,dr_dch_p3_m7,dr_dch_p3_m8,dr_dch_p3_m9
2025-12-11 01:07:20+00:00,102.0,102.0,102.0,14.390907287597656,8.442085266113281,45.04327392578125,102.0,34.39091873168945,11.132667541503906,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,12.568992614746094,10.527511596679688,11.007858276367188,12.824689592633929,10.313339233398438,10.84136962890625,11.49053955078125,12.277191162109375,11.849571228027344,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0
2025-12-11 01:07:30+00:00,102.0,102.0,102.0,14.390907287597656,8.442085266113281,45.04327392578125,102.0,10.974474225725446,11.132667541503906,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,12.568992614746094,10.527511596679688,11.007858276367188,12.321866989135742,10.313339233398438,10.84136962890625,11.49053955078125,11.147372245788574,11.849571228027344,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0
2025-12-11 01:07:40+00:00,102.0,102.0,102.0,14.390907287597656,8.442085266113281,45.04327392578125,102.0,10.699888229370117,11.132667541503906,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,12.568992614746094,10.527511596679688,11.007858276367188,12.315444946289062,10.313339233398438,10.84136962890625,11.49053955078125,10.64372444152832,11.849571228027344,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0
2025-12-11 01:07:50+00:00,102.0,102.0,102.0,14.390907287597656,8.442085266113281,45.04327392578125,102.0,10.651082720075335,11.132667541503906,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,12.568992614746094,10.527511596679688,11.007858276367188,12.315444946289062,10.313339233398438,10.84136962890625,11.49053955078125,10.426864624023438,11.849571228027344,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0
2025-12-11 01:08:00+00:00,102.0,102.0,102.0,14.390907287597656,8.442085266113281,45.04327392578125,102.0,10.522879600524902,11.132667541503906,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,12.568992614746094,10.527511596679688,11.007858276367188,12.315444946289062,10.313339233398438,10.84136962890625,11.49053955078125,10.341229438781738,11.849571228027344,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0
2025-12-11 01:08:10+00:00,102.0,102.0,102.0,14.390907287597656,8.442085266113281,45.04327392578125,102.0,10.287066868373326,11.132667541503906,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,12.568992614746094,10.527511596679688,11.007858276367188,12.315444946289062,10.313339233398438,10.84136962890625,11.49053955078125,10.22891344342913,11.849571228027344,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0
2025-12-11 01:08:20+00:00,102.0,102.0,102.0,14.390907287597656,8.442085266113281,45.04327392578125,102.0,10.159105936686197,11.132667541503906,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,12.356661478678385,10.527511596679688,11.007858276367188,12.073956807454428,10.313339233398438,10.84136962890625,11.49053955078125,10.102035522460938,11.520548502604166,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0
2025-12-11 01:08:30+00:00,102.0,102.0,102.0,14.390907287597656,8.442085266113281,45.04327392578125,102.0,10.158309936523438,11.132667541503906,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,11.432855606079102,10.527511596679688,11.007858276367188,11.066656930106026,10.313339233398438,10.84136962890625,11.49053955078125,10.102035522460938,10.044715881347656,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0
2025-12-11 01:08:40+00:00,102.0,102.0,102.0,14.390907287597656,8.442085266113281,45.04327392578125,102.0,10.158309936523438,11.132667541503906,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,11.390830993652344,10.527511596679688,11.007858276367188,10.988761901855469,10.313339233398438,10.84136962890625,11.49053955078125,10.102035522460938,9.392167663574218,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0
2025-12-11 01:08:50+00:00,102.0,102.0,102.0,14.390907287597656,8.442085266113281,45.04327392578125,102.0,10.158309936523438,11.132667541503906,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,11.390830993652344,10.527511596679688,11.007858276367188,10.988761901855469,10.313339233398438,10.84136962890625,11.49053955078125,10.102035522460938,9.261821746826172,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0
2025-12-11 01:09:00+00:00,102.0,102.0,102.0,14.390907287597656,8.442085266113281,45.04327392578125,102.0,10.158309936523438,11.132667541503906,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,11.390830993652344,10.527511596679688,11.007858276367188,10.988761901855469,10.313339233398438,10.84136962890625,11.49053955078125,10.102035522460938,9.144093831380209,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0
2025-12-11 01:09:10+00:00,102.0,102.0,102.0,14.390907287597656,8.442085266113281,45.04327392578125,102.0,10.158309936523438,11.132667541503906,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,11.390830993652344,10.527511596679688,11.007858276367188,10.988761901855469,10.313339233398438,10.84136962890625,11.49053955078125,10.102035522460938,8.971229553222656,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0
2025-12-11 01:09:20+00:00,102.0,102.0,102.0,14.390907287597656,8.442085266113281,45.04327392578125,102.0,10.158309936523438,11.132667541503906,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,11.004413604736328,10.527511596679688,11.007858276367188,10.964969635009766,10.313339233398438,10.84136962890625,11.49053955078125,10.102035522460938,8.880699157714844,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0
2025-12-11 01:09:30+00:00,102.0,102.0,102.0,14.390907287597656,8.442085266113281,45.04327392578125,102.0,10.158309936523438,11.132667541503906,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,9.626790046691895,10.527511596679688,11.007858276367188,10.941177368164062,10.313339233398438,10.84136962890625,11.49053955078125,10.102035522460938,8.880699157714844,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0
2025-12-11 01:09:40+00:00,102.0,102.0,102.0,14.390907287597656,8.442085266113281,45.04327392578125,102.0,10.158309936523438,11.132667541503906,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,8.997596740722656,10.527511596679688,11.007858276367188,10.941177368164062,10.313339233398438,10.84136962890625,11.49053955078125,10.102035522460938,8.880699157714844,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0
2025-12-11 01:09:50+00:00,102.0,102.0,102.0,14.390907287597656,8.442085266113281,45.04327392578125,102.0,10.158309936523438,11.132667541503906,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,8.873756408691406,10.527511596679688,11.007858276367188,10.941177368164062,10.313339233398438,10.84136962890625,11.49053955078125,10.102035522460938,8.880699157714844,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0
2025-12-11 01:10:00+00:00,102.0,102.0,102.0,14.390907287597656,8.442085266113281,45.04327392578125,102.0,10.158309936523438,11.132667541503906,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,8.754376002720424,10.527511596679688,11.007858276367188,10.941177368164062,10.313339233398438,10.84136962890625,11.49053955078125,10.102035522460938,8.880699157714844,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0
2025-12-11 01:10:10+00:00,102.0,102.0,102.0,14.390907287597656,8.442085266113281,45.04327392578125,102.0,10.158309936523438,11.132667541503906,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,8.591261727469307,10.527511596679688,11.007858276367188,10.941177368164062,10.313339233398438,10.84136962890625,11.49053955078125,10.102035522460938,8.880699157714844,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0
2025-12-11 01:10:20+00:00,102.0,102.0,102.0,14.390907287597656,8.442085266113281,45.04327392578125,76.81915719168526,10.158309936523438,11.132667541503906,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,8.503082275390625,10.527511596679688,11.007858276367188,10.87094225202288,10.313339233398438,10.84136962890625,11.49053955078125,10.102035522460938,8.880699157714844,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0
2025-12-11 01:10:30+00:00,102.0,102.0,102.0,14.390907287597656,8.442085266113281,45.04327392578125,13.41708265032087,10.158309936523438,11.132667541503906,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,8.503082275390625,10.527511596679688,11.007858276367188,9.938353402273995,10.313339233398438,10.84136962890625,11.49053955078125,10.102035522460938,8.880699157714844,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0
2025-12-11 01:10:40+00:00,102.0,102.0,102.0,14.390907287597656,8.442085266113281,45.04327392578125,13.370887756347656,10.158309936523438,11.132667541503906,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,8.503082275390625,10.527511596679688,11.007858276367188,9.51348876953125,10.313339233398438,10.84136962890625,11.49053955078125,10.102035522460938,8.880699157714844,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0
2025-12-11 01:10:50+00:00,102.0,102.0,102.0,14.390907287597656,8.442085266113281,45.04327392578125,13.370887756347656,10.158309936523438,11.132667541503906,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,8.503082275390625,10.527511596679688,11.007858276367188,9.348153250558036,10.313339233398438,10.84136962890625,11.49053955078125,10.102035522460938,8.880699157714844,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0
